Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2020-04-01,4113,2058,45999,536,5,193,86,327,127,2594,169,6540,106,520
2020-04-02,4977,2089,55950,557,3,415,140,734,295,2646,389,12463,0,1149
2020-04-03,4977,2089,55843,557,5,422,82,798,314,2646,384,12369,0,1220
2020-04-04,4977,2089,56208,557,3,455,54,869,328,2646,1,6541,0,1324
2020-04-05,4977,2089,56548,557,4,488,52,879,340,2646,0,6514,0,1367
2020-04-06,4977,2089,56555,557,2,505,45,906,377,2646,368,12324,0,1411
2020-04-07,5049,2089,56576,557,2,527,53,965,396,2646,391,12312,0,1492
2020-04-08,5063,2741,57319,615,0,554,70,1025,426,3356,548,12449,90,1579
2020-04-09,5063,3581,57260,615,2,544,54,1110,438,4196,1426,23405,417,1654
2020-04-10,5063,3581,57028,615,1,498,52,1218,380,4196,1415,23372,404,1716
2020-04-11,5103,3581,57664,615,0,509,31,1266,367,4196,1033,17551,379,1775
2020-04-12,5103,3581,57536,615,0,519,37,1313,382,4196,1030,17673,380,1832
2020-04-13,5103,3581,57533,615,1,500,52,1411,374,4196,1510,24941,396,1911
2020-04-14,5104,3582,57738,617,3,529,37,1426,377,4199,1510,25359,395,1955
2020-04-15,5372,3879,59426,575,2,522,46,1517,382,4454,1681,26036,508,2039
2020-04-16,6556,3883,59954,575,5,527,41,1547,373,4458,1448,27944,454,2074
2020-04-17,6556,3883,59530,575,1,525,72,1614,365,4458,1388,25589,448,2139
2020-04-18,6552,3891,59337,575,2,515,17,1635,363,4466,1368,25819,386,2150
2020-04-19,6552,3876,59367,575,3,534,24,1737,366,4451,1231,21453,424,2271
2020-04-20,6552,3856,59924,621,3,530,30,1813,364,4477,1466,26873,457,2343
2020-04-21,6552,3856,59952,621,1,524,38,1882,362,4477,1587,28912,480,2406
2020-04-22,6570,3856,59638,582,2,516,27,2044,352,4438,1667,26864,527,2560
2020-04-23,6570,3856,59543,582,3,541,65,2091,379,4438,1612,28750,496,2632
2020-04-24,6567,3855,59611,582,0,525,21,2164,380,4437,1524,26726,446,2689
2020-04-25,6567,3855,59707,582,0,525,30,2183,374,4437,1525,27013,428,2708
2020-04-26,6567,3855,59205,582,0,519,26,2226,372,4437,1325,22060,433,2745
