date,prname,pruid,numtests_total,numtests_weekly,avgnumtests_last7,avgratetests_last7,avgpositivity_last7,ratetests_total,update
2020-01-01,British Columbia,59,0,,,,,0,1
2020-01-01,Alberta,48,0,,,,,0,1
2020-01-01,Saskatchewan,47,0,,,,,0,1
2020-01-01,Manitoba,46,0,,,,,0,1
2020-01-01,Ontario,35,0,,,,,0,1
2020-01-01,Quebec,24,0,,,,,0,1
2020-01-01,Newfoundland and Labrador,10,0,,,,,0,1
2020-01-01,New Brunswick,13,0,,,,,0,1
2020-01-01,Nova Scotia,12,0,,,,,0,1
2020-01-01,Prince Edward Island,11,0,,,,,0,1
2020-01-01,Yukon,60,0,,,,,0,1
2020-01-01,Northwest Territories,61,0,,,,,0,1
2020-01-01,Nunavut,62,0,,,,,0,1
2020-01-01,Canada,1,76,,,,,2,
2020-01-02,British Columbia,59,0,,,,,0,1
2020-01-02,Alberta,48,0,,,,,0,1
2020-01-02,Saskatchewan,47,0,,,,,0,1
2020-01-02,Manitoba,46,0,,,,,0,1
2020-01-02,Ontario,35,0,,,,,0,1
2020-01-02,Quebec,24,0,,,,,0,1
2020-01-02,Newfoundland and Labrador,10,0,,,,,0,1
2020-01-02,New Brunswick,13,0,,,,,0,1
2020-01-02,Nova Scotia,12,0,,,,,0,1
2020-01-02,Prince Edward Island,11,0,,,,,0,1
2020-01-02,Yukon,60,0,,,,,0,1
2020-01-02,Northwest Territories,61,0,,,,,0,1
2020-01-02,Nunavut,62,0,,,,,0,1
2020-01-02,Canada,1,76,,,,,2,
2020-01-03,British Columbia,59,0,,,,,0,1
2020-01-03,Alberta,48,0,,,,,0,1
2020-01-03,Saskatchewan,47,0,,,,,0,1
2020-01-03,Manitoba,46,0,,,,,0,1
2020-01-03,Ontario,35,0,,,,,0,1
2020-01-03,Quebec,24,0,,,,,0,1
2020-01-03,Newfoundland and Labrador,10,0,,,,,0,1
2020-01-03,New Brunswick,13,0,,,,,0,1
2020-01-03,Nova Scotia,12,0,,,,,0,1
2020-01-03,Prince Edward Island,11,0,,,,,0,1
2020-01-03,Yukon,60,0,,,,,0,1
2020-01-03,Northwest Territories,61,0,,,,,0,1
2020-01-03,Nunavut,62,0,,,,,0,1
2020-01-03,Canada,1,76,,,,,2,
2020-01-04,British Columbia,59,0,0,,,,0,1
2020-01-04,Alberta,48,1,1,,,,0.2,1
2020-01-04,Saskatchewan,47,0,0,,,,0,1
2020-01-04,Manitoba,46,0,0,,,,0,1
2020-01-04,Ontario,35,0,0,,,,0,1
2020-01-04,Quebec,24,0,0,,,,0,1
2020-01-04,Newfoundland and Labrador,10,0,0,,,,0,1
2020-01-04,New Brunswick,13,0,0,,,,0,1
2020-01-04,Nova Scotia,12,0,0,,,,0,1
2020-01-04,Prince Edward Island,11,0,0,,,,0,1
2020-01-04,Yukon,60,0,0,,,,0,1
2020-01-04,Northwest Territories,61,0,0,,,,0,1
2020-01-04,Nunavut,62,0,0,,,,0,1
2020-01-04,Canada,1,77,1,,,,2,
2020-01-05,British Columbia,59,0,,,,,0,1
2020-01-05,Alberta,48,1,,,,,0.2,1
2020-01-05,Saskatchewan,47,0,,,,,0,1
2020-01-05,Manitoba,46,0,,,,,0,1
2020-01-05,Ontario,35,0,,,,,0,1
2020-01-05,Quebec,24,0,,,,,0,1
2020-01-05,Newfoundland and Labrador,10,0,,,,,0,1
2020-01-05,New Brunswick,13,0,,,,,0,1
2020-01-05,Nova Scotia,12,0,,,,,0,1
2020-01-05,Prince Edward Island,11,0,,,,,0,1
2020-01-05,Yukon,60,0,,,,,0,1
2020-01-05,Northwest Territories,61,0,,,,,0,1
2020-01-05,Nunavut,62,0,,,,,0,1
2020-01-05,Canada,1,77,,,,,2,
2020-01-06,British Columbia,59,0,,,,,0,1
2020-01-06,Alberta,48,1,,,,,0.2,1
2020-01-06,Saskatchewan,47,0,,,,,0,1
2020-01-06,Manitoba,46,0,,,,,0,1
2020-01-06,Ontario,35,0,,,,,0,1
2020-01-06,Quebec,24,0,,,,,0,1
2020-01-06,Newfoundland and Labrador,10,0,,,,,0,1
2020-01-06,New Brunswick,13,0,,,,,0,1
2020-01-06,Nova Scotia,12,0,,,,,0,1
2020-01-06,Prince Edward Island,11,0,,,,,0,1
2020-01-06,Yukon,60,0,,,,,0,1
2020-01-06,Northwest Territories,61,0,,,,,0,1
2020-01-06,Nunavut,62,0,,,,,0,1
2020-01-06,Canada,1,77,,,,,2,
2020-01-07,British Columbia,59,0,,0,0,0,0,1
2020-01-07,Alberta,48,1,,0.1,0,0,0.2,1
2020-01-07,Saskatchewan,47,0,,0,0,0,0,1
2020-01-07,Manitoba,46,0,,0,0,0,0,1
2020-01-07,Ontario,35,0,,0,0,0,0,1
2020-01-07,Quebec,24,0,,0,0,0,0,1
2020-01-07,Newfoundland and Labrador,10,0,,0,0,0,0,1
2020-01-07,New Brunswick,13,0,,0,0,0,0,1
2020-01-07,Nova Scotia,12,0,,0,0,0,0,1
2020-01-07,Prince Edward Island,11,0,,0,0,0,0,1
2020-01-07,Yukon,60,0,,0,0,0,0,1
2020-01-07,Northwest Territories,61,0,,0,0,0,0,1
2020-01-07,Nunavut,62,0,,0,0,0,0,1
2020-01-07,Canada,1,77,,0.1,0,0,2,
2020-01-08,British Columbia,59,0,,0,0,0,0,1
2020-01-08,Alberta,48,1,,0.1,0,0,0.2,1
2020-01-08,Saskatchewan,47,0,,0,0,0,0,1
2020-01-08,Manitoba,46,0,,0,0,0,0,1
2020-01-08,Ontario,35,0,,0,0,0,0,1
2020-01-08,Quebec,24,0,,0,0,0,0,1
2020-01-08,Newfoundland and Labrador,10,0,,0,0,0,0,1
2020-01-08,New Brunswick,13,0,,0,0,0,0,1
2020-01-08,Nova Scotia,12,0,,0,0,0,0,1
2020-01-08,Prince Edward Island,11,0,,0,0,0,0,1
2020-01-08,Yukon,60,0,,0,0,0,0,1
2020-01-08,Northwest Territories,61,0,,0,0,0,0,1
2020-01-08,Nunavut,62,0,,0,0,0,0,1
2020-01-08,Canada,1,77,,0.1,0,0,2,
2020-01-09,British Columbia,59,0,,0,0,0,0,1
